,date_day,repo_id,repo_name,count_stars
382,2017-03-01,24470524,zingchart/ZingChart,2
383,2017-04-01,24470524,zingchart/ZingChart,9
384,2017-05-01,24470524,zingchart/ZingChart,7
385,2017-07-01,24470524,zingchart/ZingChart,4
386,2017-08-01,24470524,zingchart/ZingChart,2
387,2017-10-01,24470524,zingchart/ZingChart,6
388,2017-11-01,24470524,zingchart/ZingChart,3
389,2017-12-01,24470524,zingchart/ZingChart,7
390,2018-01-01,24470524,zingchart/ZingChart,7
391,2018-02-01,24470524,zingchart/ZingChart,6
392,2018-03-01,24470524,zingchart/ZingChart,1
393,2018-04-01,24470524,zingchart/ZingChart,2
394,2018-06-01,24470524,zingchart/ZingChart,1
395,2018-08-01,24470524,zingchart/ZingChart,1
396,2018-09-01,24470524,zingchart/ZingChart,3
397,2018-10-01,24470524,zingchart/ZingChart,3
398,2018-11-01,24470524,zingchart/ZingChart,2
399,2018-12-01,24470524,zingchart/ZingChart,5
400,2019-01-01,24470524,zingchart/ZingChart,5
401,2019-02-01,24470524,zingchart/ZingChart,4
402,2019-03-01,24470524,zingchart/ZingChart,2
403,2019-04-01,24470524,zingchart/ZingChart,1
404,2019-05-01,24470524,zingchart/ZingChart,2
405,2019-06-01,24470524,zingchart/ZingChart,4
406,2019-07-01,24470524,zingchart/ZingChart,4
407,2019-08-01,24470524,zingchart/ZingChart,3
408,2019-10-01,24470524,zingchart/ZingChart,1
409,2019-11-01,24470524,zingchart/ZingChart,1
410,2019-12-01,24470524,zingchart/ZingChart,1
411,2020-01-01,24470524,zingchart/ZingChart,3
412,2020-02-01,24470524,zingchart/ZingChart,5
413,2020-03-01,24470524,zingchart/ZingChart,3
414,2020-04-01,24470524,zingchart/ZingChart,2
415,2020-05-01,24470524,zingchart/ZingChart,2
416,2020-06-01,24470524,zingchart/ZingChart,3
417,2020-07-01,24470524,zingchart/ZingChart,2
418,2020-08-01,24470524,zingchart/ZingChart,2
419,2020-09-01,24470524,zingchart/ZingChart,3
420,2020-10-01,24470524,zingchart/ZingChart,2
421,2020-11-01,24470524,zingchart/ZingChart,1
422,2021-01-01,24470524,zingchart/ZingChart,1
423,2021-02-01,24470524,zingchart/ZingChart,2
424,2021-03-01,24470524,zingchart/ZingChart,1
425,2021-04-01,24470524,zingchart/ZingChart,2
426,2021-05-01,24470524,zingchart/ZingChart,2
427,2021-08-01,24470524,zingchart/ZingChart,2
428,2016-04-01,53548867,dbt-labs/dbt-core,3
429,2016-05-01,53548867,dbt-labs/dbt-core,3
430,2016-07-01,53548867,dbt-labs/dbt-core,4
431,2016-08-01,53548867,dbt-labs/dbt-core,8
432,2016-09-01,53548867,dbt-labs/dbt-core,6
433,2016-10-01,53548867,dbt-labs/dbt-core,10
434,2016-11-01,53548867,dbt-labs/dbt-core,4
435,2016-12-01,53548867,dbt-labs/dbt-core,4
436,2017-01-01,53548867,dbt-labs/dbt-core,6
437,2017-02-01,53548867,dbt-labs/dbt-core,7
438,2017-03-01,53548867,dbt-labs/dbt-core,9
439,2017-04-01,53548867,dbt-labs/dbt-core,9
440,2017-05-01,53548867,dbt-labs/dbt-core,9
441,2017-06-01,53548867,dbt-labs/dbt-core,1
442,2017-07-01,53548867,dbt-labs/dbt-core,17
443,2017-08-01,53548867,dbt-labs/dbt-core,11
444,2017-09-01,53548867,dbt-labs/dbt-core,6
445,2017-10-01,53548867,dbt-labs/dbt-core,24
446,2017-11-01,53548867,dbt-labs/dbt-core,8
447,2017-12-01,53548867,dbt-labs/dbt-core,18
448,2018-01-01,53548867,dbt-labs/dbt-core,8
449,2018-02-01,53548867,dbt-labs/dbt-core,9
